date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,8.67,3.03,1.78,0.004,cacica
2025-11-17,11.64,2.72,2.0,0.009,cacica
2025-11-18,8.04,2.96,1.69,0.014,cacica
2025-11-19,9.06,2.48,1.87,0.025,cacica
2025-11-20,7.98,2.08,2.45,0.029,cacica
2025-11-21,9.18,2.8,2.59,0.011,cacica
2025-11-22,6.36,2.11,2.4,0.03,cacica
2025-11-23,8.37,2.98,2.2,0.015,cacica
2025-11-24,9.27,2.16,2.19,0.024,cacica
2025-11-25,8.7,2.37,1.98,0.026,cacica
2025-11-26,8.48,2.07,1.93,0.03,cacica
2025-11-27,8.29,2.36,2.17,0.032,cacica
2025-11-28,10.69,2.68,1.82,0.027,cacica
2025-11-29,5.35,2.85,2.0,0.034,cacica
2025-11-30,6.42,3.32,2.09,0.002,cacica
2025-12-01,8.55,2.66,1.35,0.02,cacica
2025-12-02,8.9,2.02,2.42,0.01,cacica
2025-12-03,7.29,2.76,1.97,0.034,cacica
2025-12-04,8.35,3.44,2.15,0.014,cacica
2025-12-05,7.93,1.73,2.23,0.004,cacica
2025-12-06,7.37,3.22,2.23,0.006,cacica
2025-12-07,10.81,1.63,2.13,0.006,cacica
2025-12-08,7.77,3.28,2.49,0.031,cacica
2025-12-09,8.57,2.25,2.1,0.022,cacica
2025-12-10,8.5,2.36,1.85,0.026,cacica
2025-12-11,9.04,2.51,2.04,0.021,cacica
2025-12-12,7.24,2.79,3.0,0.017,cacica
2025-12-13,6.97,2.91,2.19,0.027,cacica
2025-12-14,7.95,2.11,1.94,0.032,cacica
2025-12-15,9.11,2.29,2.22,0.005,cacica
2025-12-16,9.49,2.35,1.45,0.018,cacica
2025-12-17,8.8,2.46,1.82,0.025,cacica
2025-12-18,6.56,2.04,2.47,0.041,cacica
2025-12-19,7.39,3.1,2.03,0.011,cacica
2025-12-20,7.24,2.07,2.14,0.017,cacica
2025-12-21,8.66,3.0,2.19,0.037,cacica
2025-12-22,7.77,2.42,1.9,0.03,cacica
2025-12-23,7.48,3.04,2.24,0.004,cacica
2025-12-24,7.87,3.06,2.36,0.005,cacica
2025-12-25,9.27,2.57,2.19,0.031,cacica
2025-12-26,7.47,2.34,2.62,0.028,cacica
2025-12-27,9.72,2.24,1.59,0.01,cacica
2025-12-28,9.28,2.4,1.86,0.028,cacica
2025-12-29,6.7,2.14,1.89,0.027,cacica
2025-12-30,9.01,1.96,2.2,0.012,cacica
2025-12-31,8.56,2.87,2.19,0.005,cacica
2026-01-01,8.03,2.17,2.19,0.044,cacica
2026-01-02,8.54,2.0,2.42,0.016,cacica
2026-01-03,8.4,2.91,2.19,0.032,cacica
2026-01-04,9.43,2.7,1.62,0.025,cacica
2026-01-05,7.24,2.86,2.33,0.044,cacica
2026-01-06,7.69,2.12,2.04,0.015,cacica
2026-01-07,9.39,2.58,1.96,0.037,cacica
2026-01-08,10.06,2.02,1.91,0.02,cacica
2026-01-09,6.91,2.07,1.59,0.031,cacica
2026-01-10,8.49,2.18,1.65,0.04,cacica
2026-01-11,7.63,2.73,1.85,0.031,cacica
2026-01-12,9.58,2.82,2.02,0.047,cacica
2026-01-13,8.55,3.02,2.43,0.018,cacica
2026-01-14,8.63,2.1,1.46,0.012,cacica
2026-01-15,7.8,1.91,2.21,0.017,cacica
2026-01-16,7.93,2.75,2.09,0.029,cacica
2026-01-17,7.13,2.2,1.68,0.031,cacica
2026-01-18,9.32,2.4,2.1,0.036,cacica
2026-01-19,7.16,2.35,1.99,0.011,cacica
2026-01-20,8.11,1.9,2.16,0.018,cacica
2026-01-21,7.65,2.44,1.81,0.005,cacica
2026-01-22,5.92,2.77,1.98,0.056,cacica
2026-01-23,6.63,2.19,1.62,0.033,cacica
2026-01-24,10.63,2.41,2.2,0.039,cacica
2026-01-25,8.41,2.33,1.8,0.031,cacica
2026-01-26,10.64,3.19,2.18,0.014,cacica
2026-01-27,8.8,2.53,2.43,0.017,cacica
2026-01-28,8.73,2.97,2.16,0.002,cacica
2026-01-29,7.69,2.87,1.56,0.027,cacica
2026-01-30,8.52,3.13,1.96,0.016,cacica
2026-01-31,8.63,2.03,1.86,0.006,cacica
2026-02-01,6.95,1.92,1.18,0.018,cacica
2026-02-02,7.7,2.37,2.09,0.036,cacica
2026-02-03,8.84,3.46,2.18,0.018,cacica
2026-02-04,8.8,2.69,2.15,0.006,cacica
2026-02-05,9.01,3.01,1.65,0.018,cacica
2026-02-06,8.89,2.19,2.63,0.011,cacica
2026-02-07,6.1,3.19,1.88,0.014,cacica
2026-02-08,8.74,2.42,2.54,0.008,cacica
2026-02-09,8.93,2.86,1.56,0.016,cacica
2026-02-10,9.67,3.11,1.65,0.032,cacica
2026-02-11,7.67,2.94,2.24,0.029,cacica
2026-02-12,10.9,2.45,1.84,0.017,cacica
2026-02-13,8.44,3.35,1.83,0.018,cacica
2026-02-14,8.16,3.06,2.1,0.019,cacica
2026-02-15,8.71,2.83,1.76,0.024,cacica
2026-02-16,7.86,3.12,2.02,0.019,cacica
2026-02-17,9.48,2.74,2.58,0.03,cacica
2026-02-18,7.91,2.02,1.94,0.027,cacica
2026-02-19,8.28,2.24,1.79,0.022,cacica
2026-02-20,8.01,2.39,1.72,0.016,cacica
2026-02-21,8.98,3.17,1.95,0.023,cacica
2026-02-22,8.1,3.0,2.07,0.036,cacica
2026-02-23,8.39,2.68,2.27,0.016,cacica
2026-02-24,7.75,2.24,1.85,0.017,cacica
2026-02-25,8.24,3.38,1.74,0.0,cacica
2026-02-26,8.8,2.68,2.01,0.027,cacica
2026-02-27,6.33,2.76,2.43,0.017,cacica
2026-02-28,7.16,2.0,1.78,0.016,cacica
2026-03-01,9.23,2.39,2.04,0.009,cacica
2026-03-02,8.15,2.46,1.77,0.023,cacica
2026-03-03,7.46,2.2,1.75,0.031,cacica
2026-03-04,8.62,2.58,2.86,0.015,cacica
2026-03-05,8.48,2.36,1.97,0.005,cacica
2026-03-06,8.44,2.83,2.24,0.019,cacica
2026-03-07,6.84,2.85,2.01,0.019,cacica
2026-03-08,8.8,2.81,1.73,0.013,cacica
2026-03-09,8.59,1.86,2.03,0.021,cacica
2026-03-10,8.54,2.19,2.36,0.018,cacica
2026-03-11,9.28,2.19,2.25,0.025,cacica
2026-03-12,8.4,2.33,1.79,0.015,cacica
2026-03-13,7.26,2.25,1.93,0.01,cacica
2026-03-14,9.49,2.99,2.0,0.02,cacica
2026-03-15,9.32,2.33,2.36,0.019,cacica
2026-03-16,7.68,3.43,2.46,0.0,cacica
2026-03-17,7.16,2.74,1.74,0.02,cacica
2026-03-18,7.27,2.56,2.48,0.024,cacica
2026-03-19,7.89,1.6,2.25,0.008,cacica
2026-03-20,7.51,2.81,2.02,0.014,cacica
2026-03-21,8.26,2.14,2.53,0.012,cacica
2026-03-22,9.41,2.23,1.82,0.031,cacica
2026-03-23,9.09,2.51,2.13,0.026,cacica
2026-03-24,10.37,2.85,2.28,0.003,cacica
2026-03-25,9.21,3.05,2.19,0.015,cacica
2026-03-26,8.46,3.45,1.75,0.013,cacica
2026-03-27,7.06,1.98,2.14,0.014,cacica
2026-03-28,9.17,2.55,1.94,0.027,cacica
2026-03-29,9.29,2.4,1.89,0.014,cacica
2026-03-30,7.8,3.22,1.76,0.024,cacica
2026-03-31,7.98,2.16,1.58,0.025,cacica
2026-04-01,6.71,2.79,1.64,0.016,cacica
2026-04-02,9.0,2.34,2.08,0.033,cacica
2026-04-03,8.29,2.49,2.12,0.032,cacica
2026-04-04,6.21,2.48,1.84,0.02,cacica
2026-04-05,9.29,2.85,2.19,0.004,cacica
2026-04-06,7.62,2.67,2.25,0.014,cacica
2026-04-07,9.1,1.96,2.15,0.026,cacica
2026-04-08,8.21,2.65,2.19,0.015,cacica
2026-04-09,9.51,1.97,2.0,0.014,cacica
2026-04-10,5.1,2.46,1.71,0.027,cacica
2026-04-11,7.93,2.63,2.66,0.019,cacica
2026-04-12,9.54,2.35,1.73,0.002,cacica
2026-04-13,9.08,2.38,2.22,0.012,cacica
2026-04-14,9.62,1.88,1.68,0.036,cacica
2026-04-15,6.84,2.28,1.76,0.014,cacica
2026-04-16,8.22,2.07,1.78,0.005,cacica
2026-04-17,7.75,2.19,2.84,0.031,cacica
2026-04-18,7.71,2.38,2.43,0.031,cacica
2026-04-19,9.18,2.99,1.91,0.0,cacica
2026-04-20,10.38,2.73,1.68,0.003,cacica
2026-04-21,7.68,2.16,2.63,0.004,cacica
2026-04-22,7.59,2.25,1.99,0.025,cacica
2026-04-23,8.7,2.81,1.65,0.017,cacica
2026-04-24,9.65,2.69,2.01,0.014,cacica
2026-04-25,8.31,3.01,2.09,0.005,cacica
2026-04-26,7.54,2.4,2.0,0.02,cacica
2026-04-27,8.67,2.55,1.65,0.02,cacica
2026-04-28,8.56,2.95,2.17,0.019,cacica
2026-04-29,6.33,2.8,2.02,0.025,cacica
2026-04-30,8.66,2.09,1.45,0.031,cacica
2026-05-01,9.18,1.58,1.94,0.036,cacica
2026-05-02,8.9,2.85,1.83,0.012,cacica
2026-05-03,9.2,2.26,2.32,0.019,cacica
2026-05-04,8.49,3.29,2.0,0.005,cacica
2026-05-05,7.15,2.43,1.8,0.042,cacica
2026-05-06,8.38,2.1,1.28,0.03,cacica
2026-05-07,8.0,2.43,2.15,0.012,cacica
2026-05-08,6.61,2.08,2.24,0.015,cacica
2026-05-09,9.46,2.22,2.88,0.017,cacica
2026-05-10,8.19,3.08,1.57,0.029,cacica
2026-05-11,6.59,2.4,1.72,0.016,cacica
2026-05-12,8.49,2.09,2.05,0.021,cacica
2026-05-13,8.97,1.93,1.18,0.019,cacica
2026-05-14,8.03,3.07,1.61,0.02,cacica
2026-05-15,9.43,2.5,2.03,0.033,cacica
