date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.192,curtea_arges,-0.19
2025-11-17,-0.264,curtea_arges,-0.46
2025-11-18,-0.181,curtea_arges,-0.64
2025-11-19,-0.159,curtea_arges,-0.8
2025-11-20,-0.204,curtea_arges,-1.0
2025-11-21,-0.242,curtea_arges,-1.24
2025-11-22,-0.189,curtea_arges,-1.43
2025-11-23,-0.294,curtea_arges,-1.72
2025-11-24,-0.08,curtea_arges,-1.81
2025-11-25,-0.262,curtea_arges,-2.07
2025-11-26,-0.073,curtea_arges,-2.14
2025-11-27,-0.317,curtea_arges,-2.46
2025-11-28,-0.249,curtea_arges,-2.71
2025-11-29,-0.178,curtea_arges,-2.88
2025-11-30,-0.247,curtea_arges,-3.13
2025-12-01,-0.194,curtea_arges,-3.32
2025-12-02,-0.189,curtea_arges,-3.51
2025-12-03,-0.076,curtea_arges,-3.59
2025-12-04,-0.221,curtea_arges,-3.81
2025-12-05,-0.157,curtea_arges,-3.97
2025-12-06,-0.187,curtea_arges,-4.16
2025-12-07,-0.134,curtea_arges,-4.29
2025-12-08,-0.156,curtea_arges,-4.44
2025-12-09,-0.244,curtea_arges,-4.69
2025-12-10,-0.207,curtea_arges,-4.9
2025-12-11,-0.304,curtea_arges,-5.2
2025-12-12,-0.237,curtea_arges,-5.44
2025-12-13,-0.202,curtea_arges,-5.64
2025-12-14,-0.181,curtea_arges,-5.82
2025-12-15,-0.065,curtea_arges,-5.89
2025-12-16,-0.209,curtea_arges,-6.09
2025-12-17,-0.206,curtea_arges,-6.3
2025-12-18,-0.254,curtea_arges,-6.55
2025-12-19,-0.267,curtea_arges,-6.82
2025-12-20,-0.042,curtea_arges,-6.86
2025-12-21,-0.152,curtea_arges,-7.02
2025-12-22,-0.292,curtea_arges,-7.31
2025-12-23,-0.285,curtea_arges,-7.59
2025-12-24,-0.016,curtea_arges,-7.61
2025-12-25,-0.214,curtea_arges,-7.82
2025-12-26,-0.116,curtea_arges,-7.94
2025-12-27,-0.316,curtea_arges,-8.25
2025-12-28,-0.323,curtea_arges,-8.58
2025-12-29,-0.107,curtea_arges,-8.68
2025-12-30,-0.273,curtea_arges,-8.96
2025-12-31,-0.343,curtea_arges,-9.3
2026-01-01,-0.115,curtea_arges,-9.42
2026-01-02,-0.269,curtea_arges,-9.68
2026-01-03,-0.294,curtea_arges,-9.98
2026-01-04,-0.156,curtea_arges,-10.13
