date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,8.23,1.82,2.17,0.32,lupeni
2025-11-17,7.91,1.76,2.38,0.296,lupeni
2025-11-18,7.63,1.82,1.36,0.209,lupeni
2025-11-19,9.35,2.59,2.22,0.416,lupeni
2025-11-20,7.76,2.58,2.51,0.442,lupeni
2025-11-21,7.34,2.3,1.87,0.413,lupeni
2025-11-22,5.88,2.74,2.24,0.356,lupeni
2025-11-23,8.57,2.62,1.39,0.33,lupeni
2025-11-24,7.65,2.09,1.89,0.293,lupeni
2025-11-25,7.82,2.77,2.12,0.228,lupeni
2025-11-26,10.6,1.97,1.98,0.424,lupeni
2025-11-27,8.83,1.81,2.27,0.226,lupeni
2025-11-28,9.58,2.24,1.78,0.35,lupeni
2025-11-29,8.29,3.06,1.96,0.132,lupeni
2025-11-30,9.5,2.28,2.24,0.275,lupeni
2025-12-01,6.47,2.86,2.42,0.297,lupeni
2025-12-02,7.51,2.31,2.12,0.307,lupeni
2025-12-03,8.93,2.74,2.08,0.208,lupeni
2025-12-04,7.65,1.79,2.05,0.335,lupeni
2025-12-05,6.47,2.67,1.95,0.304,lupeni
2025-12-06,7.59,2.52,1.47,0.421,lupeni
2025-12-07,6.4,2.12,2.22,0.359,lupeni
2025-12-08,8.87,2.51,1.89,0.368,lupeni
2025-12-09,6.41,2.19,2.04,0.377,lupeni
2025-12-10,9.2,2.77,1.93,0.363,lupeni
2025-12-11,8.51,3.07,1.36,0.432,lupeni
2025-12-12,7.29,2.14,1.63,0.277,lupeni
2025-12-13,8.55,2.96,2.58,0.375,lupeni
2025-12-14,8.82,1.51,1.98,0.227,lupeni
2025-12-15,7.33,2.2,2.47,0.3,lupeni
2025-12-16,5.91,1.84,2.48,0.336,lupeni
2025-12-17,8.59,3.09,2.2,0.291,lupeni
2025-12-18,8.98,2.78,2.19,0.297,lupeni
2025-12-19,8.12,2.2,2.02,0.244,lupeni
2025-12-20,8.04,2.93,2.01,0.367,lupeni
2025-12-21,8.19,2.76,2.0,0.253,lupeni
2025-12-22,7.23,2.58,2.19,0.335,lupeni
2025-12-23,7.45,2.73,1.87,0.28,lupeni
2025-12-24,8.34,2.48,1.94,0.296,lupeni
2025-12-25,8.87,2.85,2.12,0.35,lupeni
2025-12-26,7.89,2.57,2.14,0.404,lupeni
2025-12-27,7.51,2.19,2.09,0.443,lupeni
2025-12-28,7.07,2.35,2.26,0.323,lupeni
2025-12-29,8.24,2.19,2.4,0.247,lupeni
2025-12-30,7.16,2.32,1.43,0.265,lupeni
2025-12-31,8.1,2.15,2.25,0.333,lupeni
2026-01-01,9.4,2.48,2.38,0.147,lupeni
2026-01-02,7.05,1.55,2.58,0.434,lupeni
2026-01-03,7.64,2.88,2.3,0.397,lupeni
2026-01-04,7.34,2.96,1.78,0.256,lupeni
2026-01-05,8.5,3.15,2.25,0.252,lupeni
2026-01-06,8.21,2.18,2.33,0.323,lupeni
2026-01-07,7.8,2.87,1.77,0.32,lupeni
2026-01-08,6.96,2.87,1.94,0.183,lupeni
2026-01-09,6.51,2.19,2.26,0.258,lupeni
2026-01-10,9.11,2.71,1.86,0.24,lupeni
2026-01-11,6.98,2.54,2.0,0.247,lupeni
2026-01-12,8.52,2.24,2.0,0.241,lupeni
2026-01-13,7.45,2.61,1.77,0.156,lupeni
2026-01-14,8.27,2.32,1.55,0.276,lupeni
2026-01-15,9.5,2.25,1.52,0.29,lupeni
2026-01-16,8.18,2.49,2.01,0.22,lupeni
2026-01-17,9.56,2.67,2.31,0.401,lupeni
2026-01-18,6.56,2.44,2.23,0.28,lupeni
2026-01-19,6.33,2.59,1.66,0.318,lupeni
2026-01-20,8.38,2.26,2.58,0.278,lupeni
2026-01-21,7.92,2.11,1.71,0.161,lupeni
2026-01-22,7.11,2.78,1.78,0.183,lupeni
2026-01-23,8.41,2.34,1.8,0.268,lupeni
2026-01-24,6.96,2.15,1.45,0.3,lupeni
2026-01-25,7.78,2.52,1.69,0.247,lupeni
2026-01-26,8.25,2.23,2.48,0.423,lupeni
2026-01-27,8.05,2.85,2.04,0.266,lupeni
2026-01-28,7.06,2.18,2.1,0.251,lupeni
2026-01-29,9.11,2.21,1.77,0.435,lupeni
2026-01-30,7.92,2.76,2.12,0.214,lupeni
2026-01-31,8.8,2.84,2.12,0.245,lupeni
2026-02-01,9.54,1.7,2.57,0.425,lupeni
2026-02-02,10.38,2.27,1.96,0.272,lupeni
2026-02-03,10.44,3.08,1.9,0.294,lupeni
2026-02-04,9.39,2.96,1.83,0.43,lupeni
2026-02-05,10.75,2.51,2.36,0.142,lupeni
2026-02-06,7.96,1.85,1.89,0.328,lupeni
2026-02-07,9.08,2.26,2.05,0.335,lupeni
2026-02-08,7.5,2.45,2.14,0.363,lupeni
