date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,6.99,2.58,2.31,0.025,margina_holdea_t1
2025-11-17,8.36,1.67,1.52,0.011,margina_holdea_t1
2025-11-18,7.87,2.06,2.3,0.031,margina_holdea_t1
2025-11-19,7.9,2.33,2.02,0.007,margina_holdea_t1
2025-11-20,8.86,2.6,1.26,0.016,margina_holdea_t1
2025-11-21,8.77,2.78,2.18,0.016,margina_holdea_t1
2025-11-22,9.23,2.93,1.96,0.031,margina_holdea_t1
2025-11-23,7.79,2.75,1.71,0.004,margina_holdea_t1
2025-11-24,7.79,3.19,1.82,0.012,margina_holdea_t1
2025-11-25,9.02,2.63,1.55,0.001,margina_holdea_t1
2025-11-26,9.33,2.46,2.57,0.025,margina_holdea_t1
2025-11-27,6.53,2.54,2.25,0.022,margina_holdea_t1
2025-11-28,7.44,1.73,1.91,0.006,margina_holdea_t1
2025-11-29,7.94,2.8,1.84,0.005,margina_holdea_t1
2025-11-30,8.4,3.15,1.74,0.028,margina_holdea_t1
2025-12-01,7.11,1.96,2.35,0.033,margina_holdea_t1
2025-12-02,8.81,2.3,1.55,0.005,margina_holdea_t1
2025-12-03,8.12,2.26,2.67,0.002,margina_holdea_t1
2025-12-04,9.12,2.2,1.91,0.027,margina_holdea_t1
2025-12-05,7.92,2.74,1.49,0.022,margina_holdea_t1
2025-12-06,8.78,2.93,2.14,0.033,margina_holdea_t1
2025-12-07,7.18,2.5,1.78,0.032,margina_holdea_t1
2025-12-08,6.34,1.43,1.98,0.019,margina_holdea_t1
2025-12-09,8.44,2.95,2.26,0.03,margina_holdea_t1
2025-12-10,8.61,2.2,1.61,0.021,margina_holdea_t1
2025-12-11,5.28,2.81,1.92,0.015,margina_holdea_t1
2025-12-12,8.67,2.21,2.35,0.016,margina_holdea_t1
2025-12-13,6.41,2.56,2.21,0.023,margina_holdea_t1
2025-12-14,8.48,3.02,2.13,0.036,margina_holdea_t1
2025-12-15,7.93,2.09,1.97,0.002,margina_holdea_t1
2025-12-16,8.42,2.19,2.36,0.023,margina_holdea_t1
2025-12-17,9.45,2.49,2.0,0.025,margina_holdea_t1
2025-12-18,8.8,2.69,2.02,0.023,margina_holdea_t1
2025-12-19,7.37,2.77,1.72,0.031,margina_holdea_t1
2025-12-20,7.69,1.92,1.47,0.029,margina_holdea_t1
2025-12-21,9.47,2.28,1.51,0.019,margina_holdea_t1
2025-12-22,7.66,2.22,1.67,0.017,margina_holdea_t1
2025-12-23,8.59,2.78,2.3,0.008,margina_holdea_t1
2025-12-24,6.59,2.42,2.13,0.011,margina_holdea_t1
2025-12-25,10.26,2.4,1.75,0.029,margina_holdea_t1
2025-12-26,7.64,2.49,1.75,0.022,margina_holdea_t1
2025-12-27,6.92,2.79,1.92,0.017,margina_holdea_t1
2025-12-28,7.34,2.6,1.88,0.029,margina_holdea_t1
2025-12-29,7.81,2.26,2.29,0.027,margina_holdea_t1
2025-12-30,6.45,2.69,2.15,0.024,margina_holdea_t1
2025-12-31,6.99,2.01,1.69,0.029,margina_holdea_t1
2026-01-01,8.5,3.1,2.04,0.03,margina_holdea_t1
2026-01-02,6.86,2.85,1.96,0.03,margina_holdea_t1
2026-01-03,8.54,2.97,2.2,0.023,margina_holdea_t1
2026-01-04,7.69,2.34,1.88,0.008,margina_holdea_t1
2026-01-05,7.86,2.39,1.5,0.009,margina_holdea_t1
2026-01-06,8.04,2.24,2.1,0.008,margina_holdea_t1
2026-01-07,8.51,2.75,2.42,0.011,margina_holdea_t1
2026-01-08,7.77,2.14,2.11,0.022,margina_holdea_t1
2026-01-09,7.31,2.67,1.73,0.009,margina_holdea_t1
2026-01-10,7.72,2.8,2.23,0.037,margina_holdea_t1
2026-01-11,6.44,2.24,1.87,0.025,margina_holdea_t1
2026-01-12,7.57,2.55,2.09,0.0,margina_holdea_t1
2026-01-13,9.11,2.57,1.99,0.026,margina_holdea_t1
2026-01-14,8.25,2.75,1.84,0.016,margina_holdea_t1
2026-01-15,8.71,2.62,2.35,0.018,margina_holdea_t1
2026-01-16,7.13,2.35,1.84,0.029,margina_holdea_t1
2026-01-17,7.53,2.46,2.53,0.026,margina_holdea_t1
2026-01-18,8.15,2.48,2.03,0.019,margina_holdea_t1
2026-01-19,7.73,2.8,2.11,0.013,margina_holdea_t1
2026-01-20,7.56,2.98,1.63,0.027,margina_holdea_t1
2026-01-21,7.27,2.72,2.28,0.016,margina_holdea_t1
2026-01-22,7.39,2.77,2.01,0.0,margina_holdea_t1
2026-01-23,7.26,2.1,1.79,0.014,margina_holdea_t1
2026-01-24,7.68,3.21,2.02,0.0,margina_holdea_t1
2026-01-25,7.03,1.87,1.96,0.007,margina_holdea_t1
2026-01-26,8.06,2.76,1.71,0.03,margina_holdea_t1
2026-01-27,7.71,2.48,2.22,0.001,margina_holdea_t1
2026-01-28,7.79,1.97,1.69,0.017,margina_holdea_t1
2026-01-29,8.18,2.45,1.99,0.025,margina_holdea_t1
2026-01-30,8.99,2.27,1.73,0.011,margina_holdea_t1
2026-01-31,7.73,2.49,2.02,0.022,margina_holdea_t1
2026-02-01,8.17,2.41,2.14,0.013,margina_holdea_t1
2026-02-02,9.23,1.94,2.2,0.011,margina_holdea_t1
2026-02-03,5.92,3.11,2.06,0.032,margina_holdea_t1
2026-02-04,8.27,2.94,1.48,0.021,margina_holdea_t1
2026-02-05,9.06,2.43,2.48,0.008,margina_holdea_t1
2026-02-06,7.61,2.82,2.14,0.023,margina_holdea_t1
2026-02-07,8.73,2.77,2.14,0.035,margina_holdea_t1
2026-02-08,8.77,2.85,2.35,0.026,margina_holdea_t1
2026-02-09,7.22,2.38,1.87,0.023,margina_holdea_t1
2026-02-10,9.4,2.53,2.04,0.006,margina_holdea_t1
2026-02-11,6.89,2.22,2.54,0.012,margina_holdea_t1
2026-02-12,9.42,2.34,1.67,0.02,margina_holdea_t1
2026-02-13,7.67,2.2,1.68,0.024,margina_holdea_t1
2026-02-14,9.04,2.7,2.15,0.023,margina_holdea_t1
2026-02-15,5.14,2.93,1.77,0.03,margina_holdea_t1
2026-02-16,11.64,2.69,2.2,0.03,margina_holdea_t1
2026-02-17,7.64,2.28,1.73,0.018,margina_holdea_t1
2026-02-18,8.43,3.3,2.03,0.023,margina_holdea_t1
2026-02-19,7.28,2.58,2.21,0.019,margina_holdea_t1
2026-02-20,8.63,2.71,2.04,0.013,margina_holdea_t1
2026-02-21,6.39,2.5,1.95,0.036,margina_holdea_t1
2026-02-22,6.01,1.83,1.69,0.005,margina_holdea_t1
2026-02-23,7.93,2.7,1.57,0.0,margina_holdea_t1
2026-02-24,8.2,2.33,2.35,0.022,margina_holdea_t1
2026-02-25,9.32,2.52,2.5,0.015,margina_holdea_t1
2026-02-26,9.09,1.7,1.81,0.01,margina_holdea_t1
2026-02-27,9.79,2.55,1.59,0.024,margina_holdea_t1
2026-02-28,6.3,3.24,2.24,0.025,margina_holdea_t1
2026-03-01,8.0,2.31,2.13,0.044,margina_holdea_t1
2026-03-02,5.19,2.46,1.97,0.021,margina_holdea_t1
2026-03-03,9.19,2.9,1.99,0.023,margina_holdea_t1
2026-03-04,9.11,2.44,2.13,0.031,margina_holdea_t1
2026-03-05,6.96,2.7,1.72,0.022,margina_holdea_t1
