date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.09,margina_holdea_t1,-0.09
2025-11-17,-0.196,margina_holdea_t1,-0.29
2025-11-18,-0.142,margina_holdea_t1,-0.43
2025-11-19,-0.219,margina_holdea_t1,-0.65
2025-11-20,-0.311,margina_holdea_t1,-0.96
2025-11-21,-0.362,margina_holdea_t1,-1.32
2025-11-22,-0.213,margina_holdea_t1,-1.53
2025-11-23,-0.227,margina_holdea_t1,-1.76
2025-11-24,-0.2,margina_holdea_t1,-1.96
2025-11-25,-0.234,margina_holdea_t1,-2.19
2025-11-26,-0.034,margina_holdea_t1,-2.23
2025-11-27,-0.239,margina_holdea_t1,-2.47
2025-11-28,-0.221,margina_holdea_t1,-2.69
2025-11-29,-0.298,margina_holdea_t1,-2.99
2025-11-30,0.078,margina_holdea_t1,-2.91
2025-12-01,-0.164,margina_holdea_t1,-3.07
2025-12-02,-0.084,margina_holdea_t1,-3.16
2025-12-03,-0.241,margina_holdea_t1,-3.4
2025-12-04,-0.267,margina_holdea_t1,-3.66
2025-12-05,-0.101,margina_holdea_t1,-3.76
2025-12-06,-0.191,margina_holdea_t1,-3.96
2025-12-07,-0.078,margina_holdea_t1,-4.03
2025-12-08,-0.148,margina_holdea_t1,-4.18
2025-12-09,-0.261,margina_holdea_t1,-4.44
2025-12-10,-0.111,margina_holdea_t1,-4.55
2025-12-11,-0.3,margina_holdea_t1,-4.85
2025-12-12,-0.275,margina_holdea_t1,-5.13
2025-12-13,-0.211,margina_holdea_t1,-5.34
2025-12-14,-0.215,margina_holdea_t1,-5.56
2025-12-15,-0.344,margina_holdea_t1,-5.9
2025-12-16,-0.169,margina_holdea_t1,-6.07
2025-12-17,-0.169,margina_holdea_t1,-6.24
2025-12-18,-0.073,margina_holdea_t1,-6.31
2025-12-19,-0.136,margina_holdea_t1,-6.45
2025-12-20,-0.274,margina_holdea_t1,-6.72
2025-12-21,-0.106,margina_holdea_t1,-6.83
2025-12-22,-0.279,margina_holdea_t1,-7.1
2025-12-23,-0.317,margina_holdea_t1,-7.42
2025-12-24,-0.193,margina_holdea_t1,-7.61
2025-12-25,-0.148,margina_holdea_t1,-7.76
2025-12-26,-0.232,margina_holdea_t1,-7.99
2025-12-27,-0.164,margina_holdea_t1,-8.16
2025-12-28,-0.112,margina_holdea_t1,-8.27
