date,water_inflow_l_per_min,site_id
2025-11-16,12.3,margina_holdea_t1
2025-11-17,13.3,margina_holdea_t1
2025-11-18,13.4,margina_holdea_t1
2025-11-19,14.5,margina_holdea_t1
2025-11-20,15.2,margina_holdea_t1
2025-11-21,13.4,margina_holdea_t1
2025-11-22,13.5,margina_holdea_t1
2025-11-23,11.7,margina_holdea_t1
2025-11-24,14.8,margina_holdea_t1
2025-11-25,12.6,margina_holdea_t1
2025-11-26,13.5,margina_holdea_t1
2025-11-27,13.1,margina_holdea_t1
2025-11-28,12.2,margina_holdea_t1
2025-11-29,13.6,margina_holdea_t1
2025-11-30,16.3,margina_holdea_t1
2025-12-01,15.7,margina_holdea_t1
2025-12-02,12.3,margina_holdea_t1
2025-12-03,11.9,margina_holdea_t1
2025-12-04,12.5,margina_holdea_t1
2025-12-05,14.4,margina_holdea_t1
2025-12-06,13.2,margina_holdea_t1
2025-12-07,14.4,margina_holdea_t1
2025-12-08,14.0,margina_holdea_t1
2025-12-09,13.5,margina_holdea_t1
2025-12-10,11.9,margina_holdea_t1
2025-12-11,12.1,margina_holdea_t1
2025-12-12,12.8,margina_holdea_t1
2025-12-13,11.9,margina_holdea_t1
2025-12-14,11.8,margina_holdea_t1
2025-12-15,12.9,margina_holdea_t1
2025-12-16,12.0,margina_holdea_t1
2025-12-17,11.3,margina_holdea_t1
2025-12-18,11.7,margina_holdea_t1
2025-12-19,11.0,margina_holdea_t1
2025-12-20,12.1,margina_holdea_t1
2025-12-21,12.8,margina_holdea_t1
2025-12-22,12.1,margina_holdea_t1
2025-12-23,13.0,margina_holdea_t1
2025-12-24,12.9,margina_holdea_t1
2025-12-25,13.8,margina_holdea_t1
2025-12-26,10.9,margina_holdea_t1
2025-12-27,11.8,margina_holdea_t1
2025-12-28,12.7,margina_holdea_t1
2025-12-29,12.6,margina_holdea_t1
2025-12-30,12.1,margina_holdea_t1
2025-12-31,12.5,margina_holdea_t1
2026-01-01,12.6,margina_holdea_t1
2026-01-02,13.5,margina_holdea_t1
2026-01-03,15.1,margina_holdea_t1
2026-01-04,15.1,margina_holdea_t1
2026-01-05,15.1,margina_holdea_t1
2026-01-06,15.9,margina_holdea_t1
2026-01-07,14.9,margina_holdea_t1
2026-01-08,15.2,margina_holdea_t1
2026-01-09,15.1,margina_holdea_t1
2026-01-10,16.1,margina_holdea_t1
2026-01-11,15.0,margina_holdea_t1
2026-01-12,13.1,margina_holdea_t1
2026-01-13,13.4,margina_holdea_t1
2026-01-14,14.6,margina_holdea_t1
2026-01-15,16.0,margina_holdea_t1
2026-01-16,11.9,margina_holdea_t1
2026-01-17,13.3,margina_holdea_t1
2026-01-18,12.7,margina_holdea_t1
2026-01-19,12.6,margina_holdea_t1
2026-01-20,12.7,margina_holdea_t1
2026-01-21,11.7,margina_holdea_t1
2026-01-22,11.3,margina_holdea_t1
2026-01-23,13.1,margina_holdea_t1
2026-01-24,11.1,margina_holdea_t1
2026-01-25,13.1,margina_holdea_t1
2026-01-26,13.1,margina_holdea_t1
2026-01-27,15.7,margina_holdea_t1
2026-01-28,14.3,margina_holdea_t1
2026-01-29,15.1,margina_holdea_t1
2026-01-30,14.0,margina_holdea_t1
2026-01-31,15.3,margina_holdea_t1
2026-02-01,12.9,margina_holdea_t1
2026-02-02,15.3,margina_holdea_t1
2026-02-03,14.1,margina_holdea_t1
2026-02-04,13.1,margina_holdea_t1
2026-02-05,14.1,margina_holdea_t1
2026-02-06,13.4,margina_holdea_t1
2026-02-07,13.6,margina_holdea_t1
2026-02-08,11.8,margina_holdea_t1
2026-02-09,12.2,margina_holdea_t1
2026-02-10,10.9,margina_holdea_t1
2026-02-11,12.5,margina_holdea_t1
2026-02-12,11.6,margina_holdea_t1
2026-02-13,11.9,margina_holdea_t1
2026-02-14,12.5,margina_holdea_t1
2026-02-15,14.2,margina_holdea_t1
2026-02-16,13.5,margina_holdea_t1
2026-02-17,13.1,margina_holdea_t1
2026-02-18,11.9,margina_holdea_t1
2026-02-19,16.0,margina_holdea_t1
2026-02-20,12.9,margina_holdea_t1
2026-02-21,13.2,margina_holdea_t1
2026-02-22,14.1,margina_holdea_t1
2026-02-23,13.8,margina_holdea_t1
2026-02-24,15.1,margina_holdea_t1
2026-02-25,12.6,margina_holdea_t1
2026-02-26,14.8,margina_holdea_t1
2026-02-27,11.4,margina_holdea_t1
2026-02-28,13.6,margina_holdea_t1
2026-03-01,13.0,margina_holdea_t1
2026-03-02,11.6,margina_holdea_t1
2026-03-03,12.2,margina_holdea_t1
2026-03-04,10.7,margina_holdea_t1
2026-03-05,12.5,margina_holdea_t1
2026-03-06,11.1,margina_holdea_t1
2026-03-07,10.8,margina_holdea_t1
2026-03-08,11.2,margina_holdea_t1
2026-03-09,11.3,margina_holdea_t1
2026-03-10,11.7,margina_holdea_t1
2026-03-11,11.4,margina_holdea_t1
2026-03-12,11.1,margina_holdea_t1
2026-03-13,10.5,margina_holdea_t1
2026-03-14,11.9,margina_holdea_t1
2026-03-15,12.2,margina_holdea_t1
2026-03-16,10.6,margina_holdea_t1
2026-03-17,11.1,margina_holdea_t1
2026-03-18,11.3,margina_holdea_t1
2026-03-19,11.8,margina_holdea_t1
2026-03-20,12.0,margina_holdea_t1
2026-03-21,11.5,margina_holdea_t1
2026-03-22,10.5,margina_holdea_t1
2026-03-23,13.9,margina_holdea_t1
2026-03-24,11.5,margina_holdea_t1
2026-03-25,12.5,margina_holdea_t1
2026-03-26,11.6,margina_holdea_t1
2026-03-27,13.1,margina_holdea_t1
2026-03-28,13.4,margina_holdea_t1
2026-03-29,13.4,margina_holdea_t1
2026-03-30,13.0,margina_holdea_t1
2026-03-31,13.6,margina_holdea_t1
2026-04-01,12.4,margina_holdea_t1
2026-04-02,12.7,margina_holdea_t1
2026-04-03,13.4,margina_holdea_t1
2026-04-04,13.6,margina_holdea_t1
2026-04-05,13.9,margina_holdea_t1
2026-04-06,12.5,margina_holdea_t1
2026-04-07,12.3,margina_holdea_t1
2026-04-08,12.4,margina_holdea_t1
2026-04-09,13.5,margina_holdea_t1
2026-04-10,12.9,margina_holdea_t1
2026-04-11,12.2,margina_holdea_t1
2026-04-12,11.5,margina_holdea_t1
2026-04-13,12.1,margina_holdea_t1
2026-04-14,12.2,margina_holdea_t1
2026-04-15,10.9,margina_holdea_t1
2026-04-16,10.5,margina_holdea_t1
2026-04-17,10.5,margina_holdea_t1
2026-04-18,11.5,margina_holdea_t1
2026-04-19,12.8,margina_holdea_t1
2026-04-20,12.6,margina_holdea_t1
2026-04-21,11.6,margina_holdea_t1
2026-04-22,10.2,margina_holdea_t1
2026-04-23,12.5,margina_holdea_t1
2026-04-24,11.4,margina_holdea_t1
2026-04-25,12.1,margina_holdea_t1
2026-04-26,11.9,margina_holdea_t1
2026-04-27,9.5,margina_holdea_t1
2026-04-28,12.3,margina_holdea_t1
2026-04-29,12.4,margina_holdea_t1
2026-04-30,11.6,margina_holdea_t1
2026-05-01,10.9,margina_holdea_t1
2026-05-02,12.1,margina_holdea_t1
2026-05-03,11.0,margina_holdea_t1
2026-05-04,12.4,margina_holdea_t1
2026-05-05,14.1,margina_holdea_t1
2026-05-06,13.4,margina_holdea_t1
2026-05-07,12.8,margina_holdea_t1
2026-05-08,11.4,margina_holdea_t1
2026-05-09,10.9,margina_holdea_t1
2026-05-10,14.3,margina_holdea_t1
2026-05-11,11.4,margina_holdea_t1
2026-05-12,13.7,margina_holdea_t1
2026-05-13,16.8,margina_holdea_t1
2026-05-14,15.9,margina_holdea_t1
2026-05-15,13.4,margina_holdea_t1
