date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,0.43,0.03,0.18,0.001,meses_a3
2025-11-17,1.5,0.0,0.39,0.024,meses_a3
2025-11-18,0.0,0.0,0.0,0.032,meses_a3
2025-11-19,0.53,0.13,0.22,0.02,meses_a3
2025-11-20,0.28,0.0,0.74,0.011,meses_a3
2025-11-21,1.15,0.65,0.21,0.033,meses_a3
2025-11-22,1.45,0.08,0.74,0.016,meses_a3
2025-11-23,0.48,0.0,0.38,0.022,meses_a3
2025-11-24,0.0,0.5,0.09,0.014,meses_a3
2025-11-25,0.0,0.74,0.0,0.02,meses_a3
2025-11-26,0.91,0.3,0.51,0.018,meses_a3
2025-11-27,1.98,0.0,0.36,0.014,meses_a3
2025-11-28,0.0,0.31,0.31,0.027,meses_a3
2025-11-29,0.03,0.7,0.82,0.019,meses_a3
2025-11-30,0.0,0.25,0.32,0.037,meses_a3
2025-12-01,1.66,1.0,0.58,0.01,meses_a3
2025-12-02,0.0,0.22,0.48,0.016,meses_a3
2025-12-03,0.22,0.22,0.76,0.027,meses_a3
2025-12-04,0.0,1.14,0.66,0.036,meses_a3
2025-12-05,1.69,0.65,0.42,0.017,meses_a3
2025-12-06,0.0,0.56,0.17,0.018,meses_a3
2025-12-07,1.35,0.51,0.43,0.014,meses_a3
2025-12-08,1.24,0.45,0.72,0.033,meses_a3
2025-12-09,0.31,0.14,0.12,0.019,meses_a3
2025-12-10,0.4,0.17,0.07,0.022,meses_a3
2025-12-11,0.74,0.0,0.25,0.021,meses_a3
2025-12-12,1.33,0.8,0.85,0.019,meses_a3
2025-12-13,1.07,0.27,0.0,0.02,meses_a3
2025-12-14,1.83,0.17,0.46,0.016,meses_a3
2025-12-15,1.21,0.06,0.0,0.032,meses_a3
2025-12-16,0.0,0.35,0.44,0.022,meses_a3
2025-12-17,0.67,0.0,0.62,0.022,meses_a3
2025-12-18,0.0,0.0,0.46,0.005,meses_a3
2025-12-19,0.52,0.67,0.18,0.034,meses_a3
2025-12-20,1.68,0.0,0.09,0.016,meses_a3
2025-12-21,0.0,0.5,0.09,0.028,meses_a3
2025-12-22,0.74,0.48,0.47,0.019,meses_a3
2025-12-23,0.47,0.73,0.25,0.0,meses_a3
2025-12-24,1.9,0.0,0.1,0.01,meses_a3
2025-12-25,0.0,0.46,0.14,0.0,meses_a3
2025-12-26,1.07,0.09,0.47,0.031,meses_a3
2025-12-27,0.0,0.5,0.0,0.043,meses_a3
2025-12-28,0.36,0.74,0.44,0.027,meses_a3
2025-12-29,0.0,0.0,1.06,0.014,meses_a3
2025-12-30,0.0,0.32,0.16,0.021,meses_a3
2025-12-31,0.0,0.33,0.49,0.029,meses_a3
2026-01-01,0.55,0.42,0.12,0.022,meses_a3
2026-01-02,1.54,0.09,0.12,0.028,meses_a3
2026-01-03,0.49,0.0,0.3,0.028,meses_a3
2026-01-04,1.45,0.55,0.41,0.042,meses_a3
2026-01-05,0.19,1.09,0.43,0.038,meses_a3
2026-01-06,1.87,0.0,0.96,0.025,meses_a3
2026-01-07,1.3,0.06,0.5,0.03,meses_a3
2026-01-08,0.45,0.0,0.25,0.012,meses_a3
2026-01-09,0.8,0.36,0.0,0.026,meses_a3
2026-01-10,0.14,1.01,0.53,0.017,meses_a3
2026-01-11,0.0,0.22,0.24,0.012,meses_a3
2026-01-12,0.8,0.0,0.76,0.025,meses_a3
2026-01-13,0.55,0.16,0.05,0.004,meses_a3
2026-01-14,1.88,0.07,0.67,0.02,meses_a3
2026-01-15,0.67,0.24,0.56,0.022,meses_a3
2026-01-16,0.0,0.0,0.4,0.019,meses_a3
2026-01-17,0.9,0.54,0.0,0.028,meses_a3
2026-01-18,1.26,0.56,0.0,0.015,meses_a3
2026-01-19,1.99,0.14,0.24,0.027,meses_a3
2026-01-20,1.72,0.07,0.52,0.02,meses_a3
2026-01-21,0.73,0.0,0.68,0.026,meses_a3
2026-01-22,1.88,0.0,0.06,0.011,meses_a3
2026-01-23,2.14,0.21,0.54,0.025,meses_a3
2026-01-24,1.19,0.13,0.86,0.03,meses_a3
2026-01-25,0.51,0.0,0.56,0.026,meses_a3
2026-01-26,0.0,0.12,0.0,0.025,meses_a3
2026-01-27,1.29,0.53,0.97,0.02,meses_a3
2026-01-28,0.0,0.28,0.28,0.022,meses_a3
2026-01-29,0.0,0.32,0.62,0.016,meses_a3
2026-01-30,0.9,0.4,0.42,0.028,meses_a3
2026-01-31,1.6,0.67,0.13,0.007,meses_a3
2026-02-01,0.84,0.11,0.51,0.029,meses_a3
2026-02-02,1.03,0.27,0.51,0.046,meses_a3
2026-02-03,0.39,0.38,0.52,0.0,meses_a3
2026-02-04,0.63,0.0,0.52,0.031,meses_a3
2026-02-05,1.0,0.0,0.52,0.0,meses_a3
2026-02-06,0.0,0.51,0.16,0.014,meses_a3
2026-02-07,0.16,0.6,0.0,0.03,meses_a3
2026-02-08,0.87,0.0,0.0,0.026,meses_a3
2026-02-09,0.53,0.69,0.43,0.006,meses_a3
2026-02-10,2.14,0.0,0.16,0.013,meses_a3
2026-02-11,1.22,0.19,0.76,0.021,meses_a3
2026-02-12,1.21,0.59,0.1,0.028,meses_a3
2026-02-13,0.91,0.89,0.7,0.016,meses_a3
2026-02-14,0.0,0.0,0.64,0.018,meses_a3
2026-02-15,0.17,1.11,0.55,0.015,meses_a3
2026-02-16,0.0,0.06,0.25,0.031,meses_a3
2026-02-17,1.21,0.0,0.04,0.0,meses_a3
2026-02-18,0.55,0.81,0.18,0.021,meses_a3
2026-02-19,0.52,0.0,0.46,0.025,meses_a3
2026-02-20,0.72,0.33,0.5,0.02,meses_a3
2026-02-21,0.95,0.09,0.16,0.015,meses_a3
2026-02-22,0.61,0.04,0.91,0.029,meses_a3
2026-02-23,0.0,0.06,0.03,0.022,meses_a3
2026-02-24,0.0,0.43,0.6,0.017,meses_a3
2026-02-25,1.53,0.03,0.12,0.012,meses_a3
2026-02-26,1.5,0.92,0.0,0.022,meses_a3
2026-02-27,0.3,0.62,0.56,0.011,meses_a3
2026-02-28,2.95,0.0,0.66,0.01,meses_a3
2026-03-01,1.82,0.55,0.07,0.015,meses_a3
2026-03-02,1.3,0.67,0.05,0.033,meses_a3
2026-03-03,0.0,0.0,0.24,0.022,meses_a3
2026-03-04,2.58,0.04,0.35,0.015,meses_a3
2026-03-05,1.3,0.38,0.39,0.015,meses_a3
2026-03-06,0.0,0.0,0.0,0.032,meses_a3
2026-03-07,1.36,0.47,0.22,0.037,meses_a3
2026-03-08,2.81,0.41,0.49,0.029,meses_a3
2026-03-09,0.04,0.29,0.59,0.011,meses_a3
2026-03-10,0.28,0.73,0.06,0.025,meses_a3
2026-03-11,0.92,0.45,0.41,0.021,meses_a3
2026-03-12,1.3,0.65,0.0,0.007,meses_a3
2026-03-13,0.6,0.62,0.12,0.006,meses_a3
2026-03-14,0.0,0.14,0.61,0.015,meses_a3
2026-03-15,0.0,0.0,0.57,0.007,meses_a3
2026-03-16,0.32,0.32,0.34,0.039,meses_a3
2026-03-17,0.0,0.0,0.46,0.022,meses_a3
2026-03-18,0.4,0.11,0.09,0.015,meses_a3
2026-03-19,0.0,0.05,0.0,0.024,meses_a3
2026-03-20,2.36,0.08,0.0,0.016,meses_a3
2026-03-21,1.21,0.0,0.71,0.019,meses_a3
2026-03-22,0.17,0.0,0.23,0.017,meses_a3
2026-03-23,1.56,0.87,0.28,0.024,meses_a3
2026-03-24,1.14,0.72,0.18,0.008,meses_a3
2026-03-25,0.0,0.08,0.57,0.025,meses_a3
2026-03-26,0.86,0.13,0.03,0.008,meses_a3
2026-03-27,1.25,0.0,0.24,0.018,meses_a3
2026-03-28,1.84,0.0,0.46,0.012,meses_a3
2026-03-29,1.83,0.0,0.54,0.021,meses_a3
2026-03-30,0.26,0.48,0.0,0.03,meses_a3
2026-03-31,0.0,0.86,0.0,0.026,meses_a3
2026-04-01,0.51,0.29,0.71,0.022,meses_a3
2026-04-02,0.02,0.39,0.38,0.019,meses_a3
2026-04-03,0.18,0.85,0.18,0.009,meses_a3
2026-04-04,0.65,0.54,0.55,0.031,meses_a3
2026-04-05,1.1,0.0,0.36,0.014,meses_a3
2026-04-06,1.75,0.08,0.01,0.025,meses_a3
2026-04-07,0.0,0.3,0.28,0.021,meses_a3
2026-04-08,0.32,0.0,0.48,0.038,meses_a3
2026-04-09,0.34,0.06,0.0,0.008,meses_a3
2026-04-10,1.97,0.0,0.0,0.041,meses_a3
2026-04-11,0.5,0.42,0.09,0.023,meses_a3
2026-04-12,0.0,0.08,0.05,0.013,meses_a3
2026-04-13,0.0,0.38,0.39,0.018,meses_a3
2026-04-14,0.71,0.0,0.0,0.028,meses_a3
2026-04-15,0.0,0.0,0.0,0.029,meses_a3
2026-04-16,0.54,0.6,0.52,0.02,meses_a3
2026-04-17,0.42,0.56,0.48,0.026,meses_a3
2026-04-18,0.48,0.26,0.34,0.014,meses_a3
2026-04-19,0.0,0.0,0.32,0.023,meses_a3
2026-04-20,0.0,0.0,0.17,0.045,meses_a3
