date,water_inflow_l_per_min,site_id
2025-11-16,6.0,meses_a3
2025-11-17,5.8,meses_a3
2025-11-18,6.3,meses_a3
2025-11-19,7.3,meses_a3
2025-11-20,7.2,meses_a3
2025-11-21,6.4,meses_a3
2025-11-22,6.0,meses_a3
2025-11-23,4.5,meses_a3
2025-11-24,6.5,meses_a3
2025-11-25,8.0,meses_a3
2025-11-26,8.6,meses_a3
2025-11-27,6.6,meses_a3
2025-11-28,5.6,meses_a3
2025-11-29,6.0,meses_a3
2025-11-30,6.4,meses_a3
2025-12-01,6.0,meses_a3
2025-12-02,7.0,meses_a3
2025-12-03,5.7,meses_a3
2025-12-04,6.4,meses_a3
2025-12-05,6.1,meses_a3
2025-12-06,6.1,meses_a3
2025-12-07,5.8,meses_a3
2025-12-08,7.4,meses_a3
2025-12-09,6.5,meses_a3
2025-12-10,6.4,meses_a3
2025-12-11,6.1,meses_a3
2025-12-12,3.0,meses_a3
2025-12-13,3.6,meses_a3
2025-12-14,5.9,meses_a3
2025-12-15,5.1,meses_a3
2025-12-16,5.4,meses_a3
2025-12-17,6.5,meses_a3
2025-12-18,5.7,meses_a3
2025-12-19,6.0,meses_a3
2025-12-20,6.8,meses_a3
2025-12-21,5.1,meses_a3
2025-12-22,5.8,meses_a3
2025-12-23,7.0,meses_a3
2025-12-24,5.8,meses_a3
2025-12-25,6.3,meses_a3
2025-12-26,5.7,meses_a3
2025-12-27,7.0,meses_a3
2025-12-28,5.4,meses_a3
2025-12-29,5.3,meses_a3
2025-12-30,6.5,meses_a3
2025-12-31,5.9,meses_a3
2026-01-01,6.9,meses_a3
2026-01-02,7.6,meses_a3
2026-01-03,6.8,meses_a3
2026-01-04,6.9,meses_a3
2026-01-05,6.5,meses_a3
2026-01-06,8.6,meses_a3
2026-01-07,6.0,meses_a3
2026-01-08,8.5,meses_a3
2026-01-09,8.7,meses_a3
2026-01-10,6.4,meses_a3
2026-01-11,7.7,meses_a3
2026-01-12,6.0,meses_a3
2026-01-13,7.1,meses_a3
2026-01-14,7.6,meses_a3
2026-01-15,8.0,meses_a3
2026-01-16,6.6,meses_a3
2026-01-17,8.4,meses_a3
2026-01-18,6.0,meses_a3
2026-01-19,5.0,meses_a3
2026-01-20,6.6,meses_a3
2026-01-21,5.7,meses_a3
2026-01-22,6.2,meses_a3
2026-01-23,4.9,meses_a3
2026-01-24,6.7,meses_a3
2026-01-25,7.2,meses_a3
2026-01-26,7.0,meses_a3
2026-01-27,6.6,meses_a3
2026-01-28,8.1,meses_a3
2026-01-29,8.3,meses_a3
2026-01-30,8.6,meses_a3
2026-01-31,7.5,meses_a3
2026-02-01,6.9,meses_a3
2026-02-02,8.6,meses_a3
2026-02-03,7.7,meses_a3
2026-02-04,7.1,meses_a3
2026-02-05,7.2,meses_a3
2026-02-06,7.0,meses_a3
2026-02-07,8.1,meses_a3
2026-02-08,5.4,meses_a3
2026-02-09,10.2,meses_a3
2026-02-10,5.4,meses_a3
2026-02-11,5.5,meses_a3
2026-02-12,8.0,meses_a3
2026-02-13,8.3,meses_a3
2026-02-14,7.3,meses_a3
