date,pgv_mm_per_s,site_id
2025-11-16,0.07,meses_a3
2025-11-17,0.31,meses_a3
2025-11-18,0.0,meses_a3
2025-11-19,2.08,meses_a3
2025-11-20,0.06,meses_a3
2025-11-21,0.2,meses_a3
2025-11-22,0.11,meses_a3
2025-11-23,0.01,meses_a3
2025-11-24,0.04,meses_a3
2025-11-25,0.06,meses_a3
2025-11-26,0.42,meses_a3
2025-11-27,0.04,meses_a3
2025-11-28,0.29,meses_a3
2025-11-29,0.64,meses_a3
2025-11-30,0.29,meses_a3
2025-12-01,0.05,meses_a3
2025-12-02,0.59,meses_a3
2025-12-03,0.44,meses_a3
2025-12-04,0.1,meses_a3
2025-12-05,0.01,meses_a3
2025-12-06,1.04,meses_a3
2025-12-07,0.12,meses_a3
2025-12-08,0.44,meses_a3
2025-12-09,0.12,meses_a3
2025-12-10,0.37,meses_a3
2025-12-11,0.33,meses_a3
2025-12-12,0.09,meses_a3
2025-12-13,0.05,meses_a3
2025-12-14,0.12,meses_a3
2025-12-15,0.12,meses_a3
2025-12-16,0.18,meses_a3
2025-12-17,0.67,meses_a3
2025-12-18,0.94,meses_a3
2025-12-19,0.05,meses_a3
2025-12-20,0.16,meses_a3
2025-12-21,0.32,meses_a3
2025-12-22,0.79,meses_a3
2025-12-23,0.6,meses_a3
2025-12-24,0.53,meses_a3
2025-12-25,0.07,meses_a3
2025-12-26,0.13,meses_a3
2025-12-27,0.1,meses_a3
2025-12-28,0.49,meses_a3
2025-12-29,0.24,meses_a3
2025-12-30,0.41,meses_a3
2025-12-31,0.08,meses_a3
2026-01-01,0.31,meses_a3
2026-01-02,0.29,meses_a3
2026-01-03,0.15,meses_a3
2026-01-04,0.25,meses_a3
2026-01-05,0.67,meses_a3
2026-01-06,0.0,meses_a3
2026-01-07,0.6,meses_a3
2026-01-08,0.93,meses_a3
2026-01-09,0.16,meses_a3
2026-01-10,0.56,meses_a3
2026-01-11,0.16,meses_a3
2026-01-12,0.66,meses_a3
2026-01-13,0.19,meses_a3
2026-01-14,0.14,meses_a3
2026-01-15,0.03,meses_a3
2026-01-16,2.44,meses_a3
2026-01-17,0.51,meses_a3
2026-01-18,0.08,meses_a3
2026-01-19,0.17,meses_a3
2026-01-20,0.27,meses_a3
2026-01-21,0.03,meses_a3
