date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,7.15,2.78,1.8,0.018,ocna_dej
2025-11-17,6.91,2.64,2.8,0.017,ocna_dej
2025-11-18,8.3,2.1,1.8,0.013,ocna_dej
2025-11-19,9.04,2.1,2.11,0.021,ocna_dej
2025-11-20,8.74,1.91,2.09,0.045,ocna_dej
2025-11-21,8.43,2.27,2.22,0.027,ocna_dej
2025-11-22,6.89,2.81,1.54,0.014,ocna_dej
2025-11-23,9.56,2.54,2.18,0.02,ocna_dej
2025-11-24,6.22,2.59,1.68,0.033,ocna_dej
2025-11-25,7.48,2.96,1.99,0.026,ocna_dej
2025-11-26,7.57,1.71,2.02,0.029,ocna_dej
2025-11-27,10.22,1.77,2.48,0.012,ocna_dej
2025-11-28,8.82,2.68,2.31,0.009,ocna_dej
2025-11-29,8.67,2.31,2.33,0.04,ocna_dej
2025-11-30,10.14,3.02,2.32,0.029,ocna_dej
2025-12-01,9.69,2.55,1.84,0.016,ocna_dej
2025-12-02,8.93,2.45,1.85,0.018,ocna_dej
2025-12-03,7.4,3.0,1.65,0.018,ocna_dej
2025-12-04,8.79,2.95,1.83,0.028,ocna_dej
2025-12-05,6.46,2.0,1.9,0.023,ocna_dej
2025-12-06,8.11,2.33,2.09,0.016,ocna_dej
2025-12-07,8.14,2.75,1.42,0.026,ocna_dej
2025-12-08,6.57,2.28,2.59,0.017,ocna_dej
2025-12-09,8.04,2.15,1.89,0.007,ocna_dej
2025-12-10,7.23,2.55,1.71,0.021,ocna_dej
2025-12-11,8.16,2.61,1.91,0.005,ocna_dej
2025-12-12,8.25,2.69,2.33,0.027,ocna_dej
2025-12-13,7.38,2.66,1.54,0.033,ocna_dej
2025-12-14,7.34,2.85,2.2,0.027,ocna_dej
2025-12-15,8.82,2.67,2.21,0.031,ocna_dej
2025-12-16,7.82,2.6,2.54,0.022,ocna_dej
2025-12-17,8.98,2.45,2.54,0.015,ocna_dej
2025-12-18,8.43,2.77,2.17,0.004,ocna_dej
2025-12-19,10.75,2.87,2.16,0.023,ocna_dej
2025-12-20,6.21,3.16,2.26,0.032,ocna_dej
2025-12-21,7.56,2.08,1.88,0.012,ocna_dej
2025-12-22,8.35,2.44,1.7,0.025,ocna_dej
2025-12-23,6.45,2.09,2.27,0.003,ocna_dej
2025-12-24,8.18,2.18,1.84,0.01,ocna_dej
2025-12-25,9.94,2.21,1.71,0.007,ocna_dej
2025-12-26,10.83,2.72,1.81,0.021,ocna_dej
2025-12-27,7.68,2.03,1.83,0.01,ocna_dej
2025-12-28,8.23,2.56,1.63,0.006,ocna_dej
2025-12-29,8.41,2.39,2.0,0.011,ocna_dej
