date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,0.88,0.0,0.38,0.008,praid
2025-11-17,0.35,0.0,0.35,0.022,praid
2025-11-18,1.31,0.54,0.69,0.009,praid
2025-11-19,0.03,0.45,0.08,0.01,praid
2025-11-20,1.24,0.16,0.21,0.028,praid
2025-11-21,0.88,0.0,0.45,0.029,praid
2025-11-22,0.0,0.72,0.25,0.03,praid
2025-11-23,0.0,0.03,0.0,0.003,praid
2025-11-24,1.35,0.0,0.0,0.024,praid
2025-11-25,0.49,0.02,0.26,0.027,praid
2025-11-26,0.0,0.01,0.52,0.018,praid
2025-11-27,3.36,0.45,0.07,0.033,praid
2025-11-28,2.04,0.79,0.48,0.017,praid
2025-11-29,0.21,0.22,0.25,0.012,praid
2025-11-30,0.31,0.19,0.77,0.02,praid
2025-12-01,0.0,0.0,1.13,0.001,praid
2025-12-02,1.23,0.44,0.0,0.038,praid
2025-12-03,0.8,0.67,0.76,0.017,praid
2025-12-04,0.42,0.44,0.0,0.0,praid
2025-12-05,0.51,1.24,0.78,0.007,praid
2025-12-06,0.14,0.21,0.46,0.013,praid
2025-12-07,0.95,0.17,0.0,0.0,praid
2025-12-08,1.46,0.35,0.69,0.021,praid
2025-12-09,0.0,0.09,0.54,0.023,praid
2025-12-10,1.68,0.52,0.53,0.007,praid
2025-12-11,1.15,0.0,0.29,0.027,praid
2025-12-12,0.0,0.09,0.17,0.022,praid
2025-12-13,1.36,0.26,0.36,0.012,praid
2025-12-14,1.34,0.93,0.28,0.019,praid
2025-12-15,3.16,0.11,0.37,0.028,praid
2025-12-16,0.0,0.04,0.27,0.023,praid
2025-12-17,1.63,0.77,0.23,0.018,praid
2025-12-18,0.54,0.42,0.09,0.0,praid
2025-12-19,2.61,0.0,0.09,0.022,praid
2025-12-20,0.78,0.0,0.0,0.015,praid
2025-12-21,0.0,0.0,0.62,0.016,praid
2025-12-22,0.0,0.38,0.45,0.034,praid
2025-12-23,0.98,0.37,0.34,0.017,praid
2025-12-24,0.08,0.74,0.39,0.022,praid
2025-12-25,0.85,0.55,0.83,0.019,praid
2025-12-26,0.29,0.0,0.59,0.02,praid
2025-12-27,0.0,0.36,0.24,0.016,praid
2025-12-28,0.0,0.29,0.18,0.027,praid
2025-12-29,1.33,0.25,0.32,0.053,praid
2025-12-30,1.32,0.27,0.23,0.006,praid
2025-12-31,0.21,0.42,0.27,0.016,praid
2026-01-01,1.01,0.0,0.38,0.021,praid
2026-01-02,0.03,1.02,0.28,0.024,praid
2026-01-03,1.43,0.28,0.0,0.028,praid
2026-01-04,0.67,0.17,0.15,0.025,praid
2026-01-05,1.96,0.81,0.39,0.018,praid
2026-01-06,1.02,0.21,0.57,0.008,praid
2026-01-07,0.15,0.17,0.6,0.024,praid
2026-01-08,1.05,0.62,0.07,0.0,praid
2026-01-09,1.36,0.37,0.42,0.011,praid
2026-01-10,1.07,0.74,0.4,0.01,praid
2026-01-11,0.72,0.5,0.09,0.023,praid
2026-01-12,1.61,0.0,0.34,0.01,praid
2026-01-13,0.11,0.1,0.18,0.023,praid
2026-01-14,0.07,0.38,0.0,0.014,praid
2026-01-15,0.74,0.51,0.35,0.024,praid
2026-01-16,0.07,1.13,0.42,0.014,praid
2026-01-17,0.4,0.07,0.52,0.034,praid
2026-01-18,0.07,0.31,0.0,0.018,praid
2026-01-19,0.85,0.25,0.32,0.013,praid
2026-01-20,0.63,0.0,0.11,0.024,praid
2026-01-21,0.0,0.44,0.0,0.025,praid
2026-01-22,0.72,0.06,0.65,0.032,praid
2026-01-23,2.54,0.58,0.53,0.012,praid
2026-01-24,0.53,0.06,0.24,0.018,praid
2026-01-25,0.0,0.49,0.0,0.008,praid
2026-01-26,0.99,0.04,0.34,0.022,praid
2026-01-27,1.39,0.67,0.72,0.041,praid
2026-01-28,0.0,0.06,0.0,0.014,praid
2026-01-29,0.0,0.79,0.69,0.012,praid
2026-01-30,0.1,0.49,0.88,0.014,praid
2026-01-31,0.29,0.84,0.09,0.006,praid
2026-02-01,0.36,0.74,0.58,0.019,praid
2026-02-02,1.46,0.61,0.28,0.024,praid
2026-02-03,0.0,0.62,0.94,0.036,praid
2026-02-04,1.85,0.0,0.16,0.023,praid
2026-02-05,0.0,0.0,0.47,0.022,praid
2026-02-06,0.0,0.44,0.28,0.03,praid
2026-02-07,0.0,0.52,0.77,0.041,praid
2026-02-08,1.83,0.51,0.49,0.022,praid
2026-02-09,0.06,0.0,0.26,0.0,praid
2026-02-10,1.9,0.68,0.62,0.021,praid
2026-02-11,0.76,0.0,0.01,0.013,praid
2026-02-12,1.92,0.09,0.85,0.023,praid
2026-02-13,1.19,0.09,0.17,0.011,praid
2026-02-14,2.78,0.48,0.0,0.006,praid
2026-02-15,0.34,0.28,0.8,0.004,praid
2026-02-16,0.11,0.0,0.25,0.018,praid
2026-02-17,1.43,0.57,0.1,0.004,praid
2026-02-18,1.47,0.83,0.53,0.026,praid
2026-02-19,0.5,0.34,0.08,0.0,praid
