datetime,magnitude,depth_km,site_id
2025-11-16 08:46:41.275288,0.86,0.16,praid
2025-11-17 10:37:48.084209,0.31,0.72,praid
2025-11-25 09:50:45.119258,0.47,0.27,praid
2025-11-28 07:28:57.668130,0.32,0.43,praid
2025-12-06 08:32:13.469583,1.02,0.48,praid
2025-12-12 00:37:53.115282,0.78,0.27,praid
2025-12-12 05:50:55.464519,1.98,0.47,praid
2025-12-12 12:16:43.467213,0.39,0.34,praid
2025-12-12 13:39:32.154139,0.09,0.23,praid
2025-12-17 14:02:32.249147,0.44,0.37,praid
2025-12-18 10:34:11.446445,1.5,0.51,praid
2025-12-19 02:36:23.380150,0.06,0.56,praid
2025-12-19 03:44:04.658692,1.6,0.73,praid
2025-12-19 12:04:38.718673,0.22,0.27,praid
2025-12-27 01:07:25.216335,1.5,0.59,praid
2025-12-29 09:47:06.343065,0.13,0.23,praid
2026-01-10 04:01:05.035516,0.06,0.51,praid
2026-01-11 23:47:46.250235,0.01,0.22,praid
2026-01-13 20:23:38.503245,1.93,0.72,praid
2026-01-13 21:55:57.561814,0.86,0.72,praid
2026-01-17 15:28:19.210036,0.02,0.61,praid
2026-01-20 11:55:48.845155,0.03,0.67,praid
2026-01-20 18:24:12.315846,1.02,0.58,praid
2026-01-30 00:10:21.828100,0.04,0.4,praid
2026-02-06 15:03:41.172708,0.23,0.11,praid
2026-02-09 08:29:01.717557,0.28,0.27,praid
2026-02-09 12:24:55.097420,0.52,0.71,praid
2026-02-12 08:45:00.332442,0.84,0.22,praid
2026-02-17 15:37:35.638258,1.1,0.25,praid
2026-02-18 04:49:54.817088,0.89,0.27,praid
2026-02-19 11:30:09.734493,0.09,0.2,praid
2026-02-26 04:48:41.218318,0.0,0.27,praid
2026-03-06 08:15:36.472640,0.08,0.25,praid
2026-03-09 01:32:11.416506,0.02,0.69,praid
2026-03-10 22:00:10.535962,0.28,0.2,praid
2026-03-11 12:19:58.853485,0.5,0.68,praid
2026-03-13 13:53:11.276428,0.45,0.56,praid
2026-03-16 14:58:28.236941,0.0,0.59,praid
2026-03-19 09:28:24.922067,0.07,0.33,praid
2026-03-20 15:08:11.911490,0.4,0.12,praid
2026-03-22 21:45:49.318478,0.11,0.65,praid
2026-03-23 02:54:28.539144,0.09,0.55,praid
2026-03-29 23:34:03.133976,0.18,0.12,praid
