date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,7.56,2.56,2.44,0.0,slanic
2025-11-17,7.5,2.51,2.13,0.01,slanic
2025-11-18,8.22,1.7,1.81,0.021,slanic
2025-11-19,9.42,2.13,2.53,0.036,slanic
2025-11-20,7.83,2.37,1.75,0.028,slanic
2025-11-21,7.03,2.59,1.87,0.052,slanic
2025-11-22,7.33,2.44,1.89,0.027,slanic
2025-11-23,9.94,2.91,1.95,0.0,slanic
2025-11-24,7.82,1.99,2.13,0.013,slanic
2025-11-25,6.98,1.96,2.17,0.036,slanic
2025-11-26,7.85,2.46,1.74,0.03,slanic
2025-11-27,8.44,3.02,1.76,0.018,slanic
2025-11-28,8.45,1.92,2.28,0.032,slanic
2025-11-29,10.01,1.86,2.27,0.028,slanic
2025-11-30,8.0,3.23,1.73,0.028,slanic
2025-12-01,6.67,2.17,2.36,0.0,slanic
2025-12-02,9.71,2.54,1.97,0.022,slanic
2025-12-03,8.51,3.09,2.15,0.003,slanic
2025-12-04,8.48,2.05,2.12,0.007,slanic
2025-12-05,7.48,2.53,2.12,0.031,slanic
2025-12-06,7.12,2.7,1.89,0.02,slanic
2025-12-07,9.78,2.42,2.06,0.024,slanic
2025-12-08,6.7,2.35,1.86,0.031,slanic
2025-12-09,7.55,2.2,2.06,0.012,slanic
2025-12-10,6.98,2.31,1.91,0.01,slanic
2025-12-11,9.58,2.95,1.86,0.019,slanic
2025-12-12,8.48,1.52,1.95,0.02,slanic
2025-12-13,7.46,2.66,2.15,0.015,slanic
2025-12-14,8.89,2.48,2.07,0.018,slanic
2025-12-15,10.11,2.51,1.97,0.038,slanic
2025-12-16,7.18,2.51,1.9,0.016,slanic
2025-12-17,7.27,2.48,2.15,0.019,slanic
2025-12-18,8.53,2.76,2.53,0.01,slanic
2025-12-19,8.39,1.62,2.07,0.012,slanic
2025-12-20,7.06,2.82,2.18,0.025,slanic
2025-12-21,7.54,2.79,1.78,0.02,slanic
2025-12-22,8.2,2.52,1.9,0.025,slanic
2025-12-23,9.16,2.46,1.97,0.015,slanic
2025-12-24,6.7,2.89,2.55,0.035,slanic
2025-12-25,8.85,3.38,2.26,0.038,slanic
2025-12-26,8.68,3.2,2.25,0.019,slanic
2025-12-27,10.23,3.08,2.0,0.034,slanic
2025-12-28,5.75,1.71,2.07,0.039,slanic
2025-12-29,7.8,3.25,2.23,0.019,slanic
2025-12-30,7.76,2.55,2.05,0.012,slanic
2025-12-31,9.7,2.23,1.66,0.03,slanic
2026-01-01,6.99,2.64,2.0,0.032,slanic
2026-01-02,7.61,3.03,2.0,0.003,slanic
2026-01-03,8.41,1.76,1.53,0.0,slanic
2026-01-04,8.78,2.84,1.39,0.013,slanic
2026-01-05,8.69,2.28,1.96,0.038,slanic
2026-01-06,6.87,2.55,1.94,0.024,slanic
2026-01-07,10.18,2.38,1.99,0.025,slanic
2026-01-08,7.49,2.83,2.07,0.005,slanic
2026-01-09,8.64,2.54,2.15,0.015,slanic
2026-01-10,9.17,2.2,2.35,0.004,slanic
2026-01-11,7.84,2.13,1.66,0.011,slanic
2026-01-12,8.73,2.27,2.14,0.028,slanic
2026-01-13,6.65,2.75,2.44,0.021,slanic
2026-01-14,8.1,2.19,2.4,0.02,slanic
2026-01-15,7.66,2.85,1.69,0.016,slanic
2026-01-16,6.74,3.04,2.14,0.016,slanic
2026-01-17,7.54,2.62,2.12,0.021,slanic
2026-01-18,7.18,1.65,1.88,0.011,slanic
2026-01-19,9.2,2.68,1.65,0.026,slanic
2026-01-20,7.34,2.74,1.92,0.016,slanic
2026-01-21,6.57,2.91,2.38,0.035,slanic
2026-01-22,7.95,2.63,1.91,0.0,slanic
2026-01-23,7.87,3.12,1.98,0.02,slanic
2026-01-24,11.01,3.16,1.94,0.013,slanic
2026-01-25,10.08,2.56,2.37,0.022,slanic
2026-01-26,8.34,2.86,2.04,0.015,slanic
2026-01-27,7.36,3.34,1.44,0.011,slanic
2026-01-28,10.58,2.81,1.28,0.022,slanic
2026-01-29,8.47,2.72,1.99,0.03,slanic
2026-01-30,6.38,3.38,1.85,0.025,slanic
2026-01-31,8.7,1.67,1.85,0.032,slanic
2026-02-01,6.39,3.14,2.47,0.021,slanic
2026-02-02,9.51,2.4,2.38,0.029,slanic
2026-02-03,8.68,1.61,2.1,0.012,slanic
2026-02-04,6.97,2.92,2.3,0.013,slanic
2026-02-05,7.51,3.14,2.45,0.025,slanic
2026-02-06,5.82,2.5,2.04,0.006,slanic
2026-02-07,9.99,2.76,1.88,0.009,slanic
2026-02-08,8.26,2.99,1.53,0.023,slanic
2026-02-09,8.94,2.34,2.24,0.01,slanic
2026-02-10,9.54,2.66,2.47,0.034,slanic
2026-02-11,7.72,2.84,1.7,0.03,slanic
2026-02-12,7.54,2.23,1.86,0.007,slanic
