date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,5.95,1.84,1.94,0.026,targu_ocna
2025-11-17,8.03,2.83,1.86,0.033,targu_ocna
2025-11-18,7.54,2.93,2.12,0.0,targu_ocna
2025-11-19,7.07,2.25,1.99,0.029,targu_ocna
2025-11-20,7.14,2.1,2.06,0.009,targu_ocna
2025-11-21,7.27,2.09,2.05,0.015,targu_ocna
2025-11-22,10.05,1.55,1.78,0.027,targu_ocna
2025-11-23,9.15,1.87,1.66,0.032,targu_ocna
2025-11-24,7.15,1.99,1.88,0.004,targu_ocna
2025-11-25,8.6,2.65,1.91,0.025,targu_ocna
2025-11-26,8.15,2.67,2.41,0.028,targu_ocna
2025-11-27,7.24,2.47,2.01,0.035,targu_ocna
2025-11-28,8.03,2.44,2.14,0.001,targu_ocna
2025-11-29,9.69,2.11,1.4,0.014,targu_ocna
2025-11-30,7.57,2.94,1.84,0.004,targu_ocna
2025-12-01,7.81,2.24,1.93,0.014,targu_ocna
2025-12-02,10.41,2.1,2.03,0.02,targu_ocna
2025-12-03,7.83,3.03,1.74,0.028,targu_ocna
2025-12-04,6.84,3.03,1.61,0.033,targu_ocna
2025-12-05,7.46,1.69,1.85,0.0,targu_ocna
2025-12-06,5.49,2.95,1.62,0.027,targu_ocna
2025-12-07,7.21,2.79,2.12,0.033,targu_ocna
2025-12-08,9.11,3.09,2.3,0.027,targu_ocna
2025-12-09,9.15,2.11,1.88,0.021,targu_ocna
2025-12-10,10.5,3.77,2.3,0.029,targu_ocna
2025-12-11,7.84,2.13,1.88,0.008,targu_ocna
2025-12-12,8.54,2.46,2.0,0.029,targu_ocna
2025-12-13,7.25,2.88,2.12,0.024,targu_ocna
2025-12-14,8.76,2.55,2.17,0.02,targu_ocna
2025-12-15,8.57,2.76,1.56,0.042,targu_ocna
2025-12-16,6.64,1.66,2.54,0.016,targu_ocna
2025-12-17,8.57,2.86,2.4,0.017,targu_ocna
2025-12-18,7.04,2.33,1.91,0.004,targu_ocna
2025-12-19,7.33,2.89,2.23,0.014,targu_ocna
2025-12-20,7.06,2.3,2.22,0.017,targu_ocna
2025-12-21,7.86,3.04,1.7,0.03,targu_ocna
2025-12-22,8.04,3.11,2.25,0.024,targu_ocna
2025-12-23,8.27,2.24,1.97,0.029,targu_ocna
2025-12-24,6.58,2.67,1.83,0.01,targu_ocna
2025-12-25,8.01,2.95,1.9,0.021,targu_ocna
2025-12-26,8.17,2.59,1.48,0.011,targu_ocna
2025-12-27,8.17,2.12,2.54,0.022,targu_ocna
2025-12-28,7.98,1.82,1.8,0.032,targu_ocna
2025-12-29,8.44,2.82,2.09,0.027,targu_ocna
2025-12-30,8.3,2.15,2.39,0.0,targu_ocna
2025-12-31,7.4,2.74,2.32,0.023,targu_ocna
2026-01-01,7.45,2.87,1.84,0.035,targu_ocna
2026-01-02,6.67,2.45,1.96,0.013,targu_ocna
2026-01-03,8.49,2.57,1.84,0.005,targu_ocna
2026-01-04,8.99,2.58,1.8,0.015,targu_ocna
2026-01-05,8.26,2.29,1.63,0.045,targu_ocna
2026-01-06,10.06,2.51,2.31,0.038,targu_ocna
2026-01-07,9.3,2.81,1.86,0.034,targu_ocna
2026-01-08,7.01,2.33,2.14,0.0,targu_ocna
2026-01-09,8.09,2.92,2.14,0.016,targu_ocna
2026-01-10,8.43,2.33,1.4,0.012,targu_ocna
2026-01-11,6.67,2.48,2.06,0.021,targu_ocna
2026-01-12,7.55,2.44,1.95,0.02,targu_ocna
2026-01-13,6.46,1.54,2.08,0.016,targu_ocna
2026-01-14,7.71,2.13,1.76,0.036,targu_ocna
2026-01-15,6.54,2.5,2.6,0.013,targu_ocna
2026-01-16,6.88,2.26,2.53,0.008,targu_ocna
2026-01-17,8.74,2.15,1.91,0.016,targu_ocna
2026-01-18,9.89,2.23,1.72,0.018,targu_ocna
2026-01-19,9.74,2.19,1.92,0.022,targu_ocna
2026-01-20,8.85,2.34,1.85,0.012,targu_ocna
2026-01-21,9.31,2.18,1.82,0.032,targu_ocna
2026-01-22,7.83,2.08,2.27,0.026,targu_ocna
2026-01-23,8.39,2.67,1.75,0.039,targu_ocna
2026-01-24,9.27,2.28,1.87,0.018,targu_ocna
2026-01-25,8.11,3.1,1.83,0.002,targu_ocna
2026-01-26,6.94,2.95,1.82,0.019,targu_ocna
2026-01-27,8.98,3.05,2.14,0.01,targu_ocna
2026-01-28,7.14,2.39,2.07,0.035,targu_ocna
2026-01-29,6.1,2.25,2.24,0.002,targu_ocna
2026-01-30,9.11,2.42,2.1,0.013,targu_ocna
2026-01-31,8.57,1.7,1.93,0.025,targu_ocna
2026-02-01,8.19,3.07,1.95,0.0,targu_ocna
2026-02-02,7.4,2.53,2.47,0.009,targu_ocna
2026-02-03,7.28,2.42,2.13,0.014,targu_ocna
2026-02-04,8.85,1.98,2.07,0.041,targu_ocna
2026-02-05,8.58,2.07,1.95,0.033,targu_ocna
2026-02-06,10.07,2.68,1.48,0.027,targu_ocna
2026-02-07,6.08,2.61,2.12,0.024,targu_ocna
2026-02-08,7.31,2.78,1.44,0.026,targu_ocna
2026-02-09,9.52,2.22,1.75,0.034,targu_ocna
2026-02-10,7.86,2.82,2.06,0.019,targu_ocna
2026-02-11,7.68,2.52,2.32,0.027,targu_ocna
